Date,Temperature,Rainfall,Humidity,Day_Type,Previous_Demand,Water_Demand
2024-01-30,26.83,0.88,70.84,Weekday,10397.42,10796.86
2024-01-31,25.59,2.54,65.77,Weekday,10796.86,10041.4
2024-02-01,35.41,0.71,41.29,Weekday,10041.4,12800.09
2024-02-02,27.95,1.67,53.73,Weekday,12800.09,10959.93
2024-02-03,23.77,1.29,63.27,Weekend,10959.93,9551.19
2024-02-04,31.29,2.18,50.48,Weekend,9551.19,11176.97
2024-02-05,23.12,5.52,72.2,Weekday,11176.97,9645.33
2024-02-06,28.84,2.64,83.37,Weekday,9645.33,11503.11
2024-02-07,20.16,0.48,79.63,Weekday,11503.11,9210.4
2024-02-08,22.69,0.06,62.44,Weekday,9210.4,10033.88
2024-02-09,28.79,0.61,82.89,Weekday,10033.88,11367.23
2024-02-10,30.95,1.81,66.78,Weekend,11367.23,11123.43
2024-02-11,28.69,0.11,60.95,Weekend,11123.43,10438.09
2024-02-12,27.54,1.37,57.64,Weekday,10438.09,10292.96
2024-02-13,26.8,1.82,61.37,Weekday,10292.96,10763.26
2024-02-14,22.09,0.81,60.34,Weekday,10763.26,10133.21
2024-02-15,25.12,2.95,67.04,Weekday,10133.21,10572.24
2024-02-16,26.16,0.23,66.93,Weekday,10572.24,11060.95
2024-02-17,32.23,0.16,65.04,Weekend,11060.95,11865.46
2024-02-18,29.37,2.61,70.24,Weekend,11865.46,10611.79
2024-02-19,20.95,1.37,79.29,Weekday,10611.79,9436.69
2024-02-20,29.3,2.33,76.39,Weekday,9436.69,11202.22
2024-02-21,26.46,1.14,47.18,Weekday,11202.22,10678.8
2024-02-22,25.29,0.57,35.0,Weekday,10678.8,10712.55
2024-02-23,30.45,3.42,76.21,Weekday,10712.55,11949.27
2024-02-24,32.12,3.21,48.6,Weekend,11949.27,11182.12
2024-02-25,31.73,2.37,62.3,Weekend,11182.12,11056.39
2024-02-26,24.64,0.64,50.96,Weekday,11056.39,10360.12
2024-02-27,26.76,1.78,43.38,Weekday,10360.12,10978.4
2024-02-28,29.33,0.9,71.5,Weekday,10978.4,11076.46
2024-02-29,31.9,0.19,74.11,Weekday,11076.46,11521.32
2024-03-01,26.08,4.99,58.08,Weekday,11521.32,10206.83
2024-03-02,27.26,0.29,35.0,Weekend,10206.83,9874.59
2024-03-03,23.57,6.0,58.45,Weekend,9874.59,8711.14
2024-03-04,23.22,1.18,69.7,Weekday,8711.14,9914.96
2024-03-05,31.25,0.41,47.25,Weekday,9914.96,11893.79
2024-03-06,33.42,1.56,67.2,Weekday,11893.79,12917.07
2024-03-07,27.71,4.13,64.82,Weekday,12917.07,10945.91
2024-03-08,32.01,2.64,71.95,Weekday,10945.91,12132.86
2024-03-09,29.45,3.29,66.43,Weekend,12132.86,10735.45
2024-03-10,25.42,2.15,53.32,Weekend,10735.45,9291.19
2024-03-11,29.45,2.36,79.36,Weekday,9291.19,11734.56
2024-03-12,34.15,3.78,63.1,Weekday,11734.56,12462.62
2024-03-13,27.86,0.57,64.67,Weekday,12462.62,11369.36
2024-03-14,34.26,1.34,53.8,Weekday,11369.36,12385.53
2024-03-15,18.0,0.5,59.68,Weekday,12385.53,8243.87
2024-03-16,31.29,8.79,54.38,Weekend,8243.87,10813.98
2024-03-17,28.35,5.77,62.92,Weekend,10813.98,10188.62
2024-03-18,26.8,0.08,85.54,Weekday,10188.62,10673.94
2024-03-19,28.37,2.45,48.54,Weekday,10673.94,10885.22
2024-03-20,20.05,5.19,45.64,Weekday,10885.22,9185.09
2024-03-21,27.12,0.4,82.65,Weekday,9185.09,10641.64
2024-03-22,29.43,1.68,62.49,Weekday,10641.64,11965.64
2024-03-23,33.91,4.94,56.97,Weekend,11965.64,11262.37
2024-03-24,25.93,0.07,77.48,Weekend,11262.37,10117.72
2024-03-25,24.77,2.39,57.73,Weekday,10117.72,10151.66
2024-03-26,25.99,0.71,86.91,Weekday,10151.66,10872.74
2024-03-27,31.66,5.16,73.14,Weekday,10872.74,11589.01
2024-03-28,29.32,7.08,59.15,Weekday,11589.01,10963.12
2024-03-29,25.88,5.77,90.89,Weekday,10963.12,10270.57
2024-03-30,30.05,1.29,57.73,Weekend,10270.57,10559.75
2024-03-31,28.39,3.96,73.91,Weekend,10559.75,10452.4
2024-04-01,31.87,3.72,68.59,Weekday,10452.4,11766.85
2024-04-02,25.19,0.77,80.62,Weekday,11766.85,10417.87
2024-04-03,26.69,3.53,83.74,Weekday,10417.87,10341.54
2024-04-04,26.43,0.08,65.38,Weekday,10341.54,10083.16
2024-04-05,22.15,1.81,55.96,Weekday,10083.16,9584.06
2024-04-06,29.18,0.52,70.52,Weekend,9584.06,11428.08
2024-04-07,29.04,0.26,56.87,Weekend,11428.08,10925.88
2024-04-08,28.02,0.16,89.16,Weekday,10925.88,11236.52
2024-04-09,27.06,2.38,66.64,Weekday,11236.52,10745.88
2024-04-10,22.34,0.83,60.62,Weekday,10745.88,9774.92
2024-04-11,26.32,2.58,67.22,Weekday,9774.92,10787.07
2024-04-12,26.63,0.14,48.83,Weekday,10787.07,10542.23
2024-04-13,24.79,0.76,53.34,Weekend,10542.23,9921.42
2024-04-14,27.35,1.55,79.4,Weekend,9921.42,10379.26
2024-04-15,29.62,3.13,57.12,Weekday,10379.26,11619.25
2024-04-16,35.54,0.77,52.44,Weekday,11619.25,13206.32
2024-04-17,28.7,1.97,71.44,Weekday,13206.32,11273.15
2024-04-18,29.03,4.34,79.23,Weekday,11273.15,11361.99
2024-04-19,27.7,1.91,73.63,Weekday,11361.99,11200.02
2024-04-20,20.32,0.53,76.95,Weekend,11200.02,8382.58
2024-04-21,27.89,0.05,55.92,Weekend,8382.58,10247.45
2024-04-22,28.24,4.08,47.94,Weekday,10247.45,11014.23
2024-04-23,37.85,0.04,83.02,Weekday,11014.23,14174.51
2024-04-24,27.23,4.15,61.13,Weekday,14174.51,10353.58
2024-04-25,29.21,1.51,61.99,Weekday,10353.58,10990.85
2024-04-26,27.86,5.6,80.94,Weekday,10990.85,10817.04
2024-04-27,23.33,3.21,71.67,Weekend,10817.04,9040.05
2024-04-28,32.57,12.36,70.47,Weekend,9040.05,10655.67
2024-04-29,31.01,0.86,90.98,Weekday,10655.67,12006.02
2024-04-30,31.16,2.92,57.28,Weekday,12006.02,11740.87
2024-05-01,24.36,1.03,76.13,Weekday,11740.87,10705.32
2024-05-02,33.61,1.31,65.68,Weekday,10705.32,12067.93
2024-05-03,22.39,1.98,68.22,Weekday,12067.93,9441.59
2024-05-04,30.35,4.14,83.34,Weekend,9441.59,10674.85
2024-05-05,36.76,8.28,71.09,Weekend,10674.85,11485.04
2024-05-06,24.04,2.92,71.46,Weekday,11485.04,9972.76
2024-05-07,25.73,1.08,77.87,Weekday,9972.76,11095.6
2024-05-08,28.4,1.09,60.62,Weekday,11095.6,11268.39
2024-05-09,25.99,2.68,54.93,Weekday,11268.39,10601.68
2024-05-10,21.8,0.55,52.46,Weekday,10601.68,9277.63
2024-05-11,28.27,0.23,41.4,Weekend,9277.63,10314.92
2024-05-12,23.75,0.88,89.67,Weekend,10314.92,9205.07
2024-05-13,29.89,0.68,51.76,Weekday,9205.07,11574.1
2024-05-14,24.32,0.7,62.34,Weekday,11574.1,10658.84
2024-05-15,34.2,0.53,61.68,Weekday,10658.84,12924.67
2024-05-16,24.87,0.09,68.69,Weekday,12924.67,10126.43
2024-05-17,26.71,0.04,74.79,Weekday,10126.43,10999.0
2024-05-18,31.25,8.8,75.33,Weekend,10999.0,10708.99
2024-05-19,23.08,1.12,58.0,Weekend,10708.99,9471.87
2024-05-20,28.91,0.97,62.99,Weekday,9471.87,11874.02
2024-05-21,33.23,2.28,68.39,Weekday,11874.02,12070.48
2024-05-22,21.57,0.49,62.02,Weekday,12070.48,9359.86
2024-05-23,28.74,5.99,84.29,Weekday,9359.86,10578.17
2024-05-24,29.04,3.09,70.89,Weekday,10578.17,11192.73
2024-05-25,31.13,0.19,73.82,Weekend,11192.73,11356.74
2024-05-26,23.05,1.08,72.95,Weekend,11356.74,9422.76
2024-05-27,22.72,4.23,79.08,Weekday,9422.76,9568.69
2024-05-28,30.09,5.79,67.17,Weekday,9568.69,11212.7
2024-05-29,29.19,1.26,49.44,Weekday,11212.7,11491.71
2024-05-30,29.0,1.9,69.8,Weekday,11491.71,11097.89
2024-05-31,29.39,0.37,57.18,Weekday,11097.89,12194.07
2024-06-01,25.28,9.46,58.66,Weekend,12194.07,8530.97
2024-06-02,28.93,0.53,72.04,Weekend,8530.97,10695.51
2024-06-03,29.17,5.72,79.86,Weekday,10695.51,11692.55
2024-06-04,25.14,2.1,65.26,Weekday,11692.55,10369.88
2024-06-05,35.46,1.87,68.71,Weekday,10369.88,12909.03
2024-06-06,29.9,1.44,85.43,Weekday,12909.03,11501.58
2024-06-07,23.23,0.52,67.89,Weekday,11501.58,9962.62
2024-06-08,30.63,0.39,95.0,Weekend,9962.62,11487.33
2024-06-09,24.1,0.5,71.79,Weekend,11487.33,8771.91
2024-06-10,31.15,0.41,43.87,Weekday,8771.91,12464.1
2024-06-11,32.63,3.02,74.04,Weekday,12464.1,11739.45
2024-06-12,24.72,0.86,69.57,Weekday,11739.45,10280.37
2024-06-13,31.85,0.12,80.48,Weekday,10280.37,12075.07
2024-06-14,29.65,6.95,73.08,Weekday,12075.07,11283.01
2024-06-15,31.29,4.3,63.34,Weekend,11283.01,10448.25
2024-06-16,35.59,5.26,50.31,Weekend,10448.25,12065.02
2024-06-17,27.02,10.56,62.49,Weekday,12065.02,10767.1
2024-06-18,24.99,0.38,54.79,Weekday,10767.1,10056.75
2024-06-19,24.44,1.01,58.03,Weekday,10056.75,10336.66
2024-06-20,24.74,2.84,72.06,Weekday,10336.66,10008.43
2024-06-21,27.69,2.38,85.04,Weekday,10008.43,11110.14
2024-06-22,29.36,0.33,69.74,Weekend,11110.14,10770.16
2024-06-23,29.11,3.38,50.65,Weekend,10770.16,10263.54
2024-06-24,31.31,0.51,70.34,Weekday,10263.54,12182.88
2024-06-25,28.05,0.51,79.36,Weekday,12182.88,11763.77
2024-06-26,33.81,1.54,57.68,Weekday,11763.77,12523.07
2024-06-27,26.94,1.8,63.39,Weekday,12523.07,11057.46
2024-06-28,38.88,1.74,65.18,Weekday,11057.46,13443.35
2024-06-29,30.5,0.19,55.58,Weekend,13443.35,10773.39
2024-06-30,24.57,4.2,72.78,Weekend,10773.39,9398.67
2024-07-01,23.72,0.62,63.55,Weekday,9398.67,10574.95
2024-07-02,29.93,0.28,70.03,Weekday,10574.95,11816.96
2024-07-03,27.11,4.39,54.35,Weekday,11816.96,10581.27
2024-07-04,30.86,6.23,59.75,Weekday,10581.27,11465.28
2024-07-05,29.89,3.96,73.67,Weekday,11465.28,11031.09
2024-07-06,27.71,3.32,60.53,Weekend,11031.09,10293.22
2024-07-07,24.61,2.13,85.72,Weekend,10293.22,9697.52
2024-07-08,21.94,1.6,60.2,Weekday,9697.52,9471.46
2024-07-09,26.21,0.18,67.7,Weekday,9471.46,10647.91
2024-07-10,31.43,1.05,76.19,Weekday,10647.91,12102.16
2024-07-11,28.86,0.93,47.98,Weekday,12102.16,11258.47
2024-07-12,23.02,0.6,43.87,Weekday,11258.47,9936.3
2024-07-13,28.69,2.57,46.69,Weekend,9936.3,11047.46
2024-07-14,29.54,1.37,80.15,Weekend,11047.46,10651.62
2024-07-15,24.46,0.17,58.38,Weekday,10651.62,10245.12
2024-07-16,28.61,0.5,95.0,Weekday,10245.12,11169.67
2024-07-17,28.23,2.3,58.23,Weekday,11169.67,11347.52
2024-07-18,23.43,0.16,67.21,Weekday,11347.52,10039.99
2024-07-19,29.43,3.81,83.51,Weekday,10039.99,11108.14
2024-07-20,30.24,1.37,89.07,Weekend,11108.14,11297.82
2024-07-21,32.33,1.31,89.74,Weekend,11297.82,11854.12
2024-07-22,32.22,1.79,79.5,Weekday,11854.12,11980.08
2024-07-23,22.49,3.48,77.29,Weekday,11980.08,9033.78
2024-07-24,24.25,0.85,72.11,Weekday,9033.78,10546.04
2024-07-25,30.06,2.27,74.34,Weekday,10546.04,11378.33
2024-07-26,30.06,1.67,58.39,Weekday,11378.33,11867.52
2024-07-27,30.06,0.62,55.18,Weekend,11867.52,10324.31
2024-07-28,40.0,4.22,64.96,Weekend,10324.31,13380.35
2024-07-29,30.28,3.19,62.96,Weekday,13380.35,11202.07
2024-07-30,32.54,2.15,59.56,Weekday,11202.07,12432.91
2024-07-31,31.82,3.8,73.36,Weekday,12432.91,11904.12
2024-08-01,30.61,4.04,76.46,Weekday,11904.12,11292.07
2024-08-02,26.74,2.46,66.06,Weekday,11292.07,10615.46
2024-08-03,31.04,3.63,82.73,Weekend,10615.46,11124.61
2024-08-04,24.91,2.39,51.3,Weekend,11124.61,9517.65
2024-08-05,27.05,2.28,62.68,Weekday,9517.65,11006.13
2024-08-06,26.06,1.93,56.4,Weekday,11006.13,11203.34
2024-08-07,28.33,2.79,42.6,Weekday,11203.34,10639.05
2024-08-08,37.26,0.35,64.01,Weekday,10639.05,14022.19
2024-08-09,20.53,4.26,63.54,Weekday,14022.19,9073.63
2024-08-10,30.75,4.11,83.16,Weekend,9073.63,10537.9
2024-08-11,21.55,0.06,72.57,Weekend,10537.9,8433.44
2024-08-12,26.11,3.5,52.71,Weekday,8433.44,10441.71
2024-08-13,32.36,0.28,87.25,Weekday,10441.71,12593.37
2024-08-14,28.26,0.82,79.65,Weekday,12593.37,11210.71
2024-08-15,23.69,2.72,71.99,Weekday,11210.71,10407.9
2024-08-16,25.14,0.35,62.28,Weekday,10407.9,10071.3
2024-08-17,30.72,3.41,53.49,Weekend,10071.3,10853.4
2024-08-18,25.08,3.57,60.53,Weekend,10853.4,9058.38
2024-08-19,28.87,1.42,78.06,Weekday,9058.38,11462.24
2024-08-20,28.18,0.01,87.62,Weekday,11462.24,11560.61
2024-08-21,25.39,0.68,83.52,Weekday,11560.61,10418.04
2024-08-22,36.58,1.92,59.13,Weekday,10418.04,12459.16
2024-08-23,30.54,7.95,51.56,Weekday,12459.16,11307.9
2024-08-24,19.9,2.0,66.69,Weekend,11307.9,8396.01
2024-08-25,28.75,0.6,43.78,Weekend,8396.01,10709.61
2024-08-26,25.35,2.01,68.88,Weekday,10709.61,10798.13
2024-08-27,31.41,1.55,63.23,Weekday,10798.13,11656.88
2024-08-28,24.83,3.03,59.41,Weekday,11656.88,10419.4
2024-08-29,27.54,0.23,45.86,Weekday,10419.4,11474.91
2024-08-30,30.02,2.86,71.16,Weekday,11474.91,10992.39
2024-08-31,31.46,1.56,58.61,Weekend,10992.39,11286.96
2024-09-01,23.2,6.59,50.96,Weekend,11286.96,8570.99
2024-09-02,26.66,0.84,35.0,Weekday,8570.99,10824.1
2024-09-03,26.1,2.0,64.67,Weekday,10824.1,10719.14
2024-09-04,25.39,5.38,86.27,Weekday,10719.14,10020.32
2024-09-05,35.06,0.22,84.94,Weekday,10020.32,12795.44
2024-09-06,29.62,5.54,59.51,Weekday,12795.44,11222.31
2024-09-07,22.96,2.33,57.77,Weekend,11222.31,8676.64
2024-09-08,31.67,0.14,70.63,Weekend,8676.64,11030.87
2024-09-09,36.49,0.72,53.02,Weekday,11030.87,13518.68
2024-09-10,32.13,2.46,68.62,Weekday,13518.68,11740.77
2024-09-11,21.92,0.14,74.19,Weekday,11740.77,9919.37
2024-09-12,26.06,1.75,79.72,Weekday,9919.37,10764.91
2024-09-13,33.07,0.85,63.8,Weekday,10764.91,11931.25
2024-09-14,25.17,1.94,62.56,Weekend,11931.25,9383.86
2024-09-15,29.78,0.09,54.46,Weekend,9383.86,11244.56
2024-09-16,31.1,4.1,55.08,Weekday,11244.56,11401.95
2024-09-17,24.29,7.26,62.28,Weekday,11401.95,9602.92
2024-09-18,27.76,6.94,69.41,Weekday,9602.92,10773.92
2024-09-19,18.0,2.77,75.96,Weekday,10773.92,8763.43
2024-09-20,23.9,0.28,55.36,Weekday,8763.43,10127.85
2024-09-21,26.99,2.84,82.91,Weekend,10127.85,9790.99
2024-09-22,23.01,0.05,61.75,Weekend,9790.99,9624.94
2024-09-23,34.53,0.04,64.74,Weekday,9624.94,13400.5
2024-09-24,22.28,0.78,56.03,Weekday,13400.5,10050.96
2024-09-25,26.24,1.34,35.91,Weekday,10050.96,10728.24
2024-09-26,28.52,2.94,75.61,Weekday,10728.24,10902.83
2024-09-27,33.77,2.3,73.84,Weekday,10902.83,12258.17
2024-09-28,22.26,1.18,61.62,Weekend,12258.17,9076.43
2024-09-29,32.65,0.64,65.8,Weekend,9076.43,11687.53
2024-09-30,28.04,11.7,71.19,Weekday,11687.53,10744.47
2024-10-01,24.07,1.11,46.25,Weekday,10744.47,10374.76
2024-10-02,29.85,1.2,58.65,Weekday,10374.76,11165.12
2024-10-03,28.8,0.36,74.53,Weekday,11165.12,11736.06
2024-10-04,25.6,3.17,49.95,Weekday,11736.06,10096.95
2024-10-05,28.28,2.37,68.52,Weekend,10096.95,10215.31
2024-10-06,26.46,0.5,48.72,Weekend,10215.31,10099.83
2024-10-07,28.45,0.17,70.6,Weekday,10099.83,11948.46
2024-10-08,30.65,2.28,64.57,Weekday,11948.46,12662.55
2024-10-09,34.34,2.13,45.62,Weekday,12662.55,12847.99
2024-10-10,23.05,0.64,78.98,Weekday,12847.99,9906.16
2024-10-11,36.53,6.03,56.18,Weekday,9906.16,13061.28
2024-10-12,20.19,0.33,55.28,Weekend,13061.28,8738.01
2024-10-13,27.39,1.13,67.41,Weekend,8738.01,10111.42
2024-10-14,30.35,5.75,78.78,Weekday,10111.42,11916.79
2024-10-15,29.12,1.09,52.81,Weekday,11916.79,11512.93
2024-10-16,25.51,2.04,65.74,Weekday,11512.93,10613.81
2024-10-17,27.17,1.01,70.15,Weekday,10613.81,11160.56
2024-10-18,26.03,0.64,73.32,Weekday,11160.56,10832.19
2024-10-19,25.64,8.27,67.12,Weekend,10832.19,9450.91
2024-10-20,31.4,1.05,60.6,Weekend,9450.91,11030.19
2024-10-21,29.43,4.49,55.07,Weekday,11030.19,11080.28
2024-10-22,25.23,0.52,66.03,Weekday,11080.28,10185.24
2024-10-23,31.6,0.48,52.13,Weekday,10185.24,12243.1
2024-10-24,29.23,0.06,35.0,Weekday,12243.1,11785.92
2024-10-25,31.25,2.11,70.24,Weekday,11785.92,12031.46
2024-10-26,30.52,0.92,75.85,Weekend,12031.46,11508.42
2024-10-27,24.68,4.0,36.64,Weekend,11508.42,9299.69
2024-10-28,25.76,1.28,52.88,Weekday,9299.69,10787.89
2024-10-29,30.99,6.9,72.43,Weekday,10787.89,11118.09
2024-10-30,30.44,0.41,89.69,Weekday,11118.09,11711.41
2024-10-31,27.92,4.06,65.25,Weekday,11711.41,11113.01
2024-11-01,28.47,3.0,56.26,Weekday,11113.01,11382.25
2024-11-02,33.11,2.95,62.81,Weekend,11382.25,11403.68
2024-11-03,25.63,3.73,81.5,Weekend,11403.68,9538.88
2024-11-04,30.19,2.86,57.25,Weekday,9538.88,11112.71
2024-11-05,27.19,1.97,55.41,Weekday,11112.71,10783.24
2024-11-06,27.13,0.28,59.21,Weekday,10783.24,11276.92
2024-11-07,32.4,0.07,53.56,Weekday,11276.92,12516.05
2024-11-08,31.3,5.07,66.47,Weekday,12516.05,11819.79
2024-11-09,31.25,1.92,84.5,Weekend,11819.79,11125.03
2024-11-10,33.22,3.18,68.88,Weekend,11125.03,11502.83
2024-11-11,28.08,1.31,61.97,Weekday,11502.83,10967.81
2024-11-12,30.73,0.25,61.5,Weekday,10967.81,12121.64
2024-11-13,26.76,0.27,46.24,Weekday,12121.64,11044.63
2024-11-14,29.3,2.31,75.6,Weekday,11044.63,11536.66
2024-11-15,27.48,1.13,64.07,Weekday,11536.66,10872.02
2024-11-16,28.39,0.45,62.83,Weekend,10872.02,9865.19
2024-11-17,30.38,1.35,95.0,Weekend,9865.19,11266.07
2024-11-18,24.73,0.13,68.59,Weekday,11266.07,10277.51
2024-11-19,36.37,1.74,55.98,Weekday,10277.51,12944.0
2024-11-20,23.98,0.63,59.88,Weekday,12944.0,10401.89
2024-11-21,23.14,3.19,78.78,Weekday,10401.89,9662.64
2024-11-22,32.63,0.74,66.36,Weekday,9662.64,12666.64
2024-11-23,31.17,1.21,47.74,Weekend,12666.64,11329.58
2024-11-24,30.5,0.02,76.03,Weekend,11329.58,11277.32
2024-11-25,30.51,0.15,56.98,Weekday,11277.32,11456.53
2024-11-26,27.95,1.0,87.48,Weekday,11456.53,11521.59
2024-11-27,24.41,1.31,77.96,Weekday,11521.59,10326.51
2024-11-28,28.3,1.83,59.63,Weekday,10326.51,11068.41
2024-11-29,25.29,0.69,80.37,Weekday,11068.41,10560.68
2024-11-30,31.9,2.37,65.81,Weekend,10560.68,10702.27
2024-12-01,27.41,3.93,75.23,Weekend,10702.27,10110.82
2024-12-02,24.7,3.03,70.82,Weekday,10110.82,9873.54
2024-12-03,26.71,0.08,54.84,Weekday,9873.54,10516.35
2024-12-04,29.65,1.31,57.28,Weekday,10516.35,11101.44
2024-12-05,25.75,0.22,77.36,Weekday,11101.44,11002.35
2024-12-06,24.71,0.55,60.98,Weekday,11002.35,10194.66
2024-12-07,28.97,8.63,60.16,Weekend,10194.66,10463.06
2024-12-08,28.98,0.31,53.54,Weekend,10463.06,10509.63
2024-12-09,25.97,1.38,70.08,Weekday,10509.63,10120.3
2024-12-10,26.12,1.93,89.75,Weekday,10120.3,10289.97
2024-12-11,28.93,2.42,52.19,Weekday,10289.97,11658.84
2024-12-12,22.21,1.64,65.29,Weekday,11658.84,9623.92
2024-12-13,22.37,0.02,81.95,Weekday,9623.92,9676.48
2024-12-14,25.13,0.79,64.04,Weekend,9676.48,9716.33
2024-12-15,27.15,1.46,70.43,Weekend,9716.33,10270.41
2024-12-16,29.24,0.18,52.25,Weekday,10270.41,11881.41
2024-12-17,33.9,0.86,70.14,Weekday,11881.41,13090.83
2024-12-18,31.43,0.07,62.75,Weekday,13090.83,11994.33
2024-12-19,27.36,0.16,76.83,Weekday,11994.33,10679.15
2024-12-20,27.92,1.01,79.25,Weekday,10679.15,11026.03
2024-12-21,23.99,0.28,95.0,Weekend,11026.03,9502.77
2024-12-22,27.93,1.68,71.96,Weekend,9502.77,10008.24
2024-12-23,26.85,2.34,68.91,Weekday,10008.24,10487.08
2024-12-24,29.29,3.22,67.33,Weekday,10487.08,11417.87
2024-12-25,24.69,0.45,60.76,Weekday,11417.87,10372.44
2024-12-26,30.08,0.37,69.06,Weekday,10372.44,11749.86
2024-12-27,34.13,0.22,61.46,Weekday,11749.86,12537.52
2024-12-28,27.56,2.02,67.02,Weekend,12537.52,10110.23
2024-12-29,29.61,2.45,80.81,Weekend,10110.23,10378.31
2024-12-30,30.76,0.06,52.92,Weekday,10378.31,12202.07
2024-12-31,26.4,5.5,78.68,Weekday,12202.07,10719.0
2025-01-01,28.9,0.11,80.81,Weekday,10719.0,10911.7
2025-01-02,28.05,1.56,63.58,Weekday,10911.7,10859.04
2025-01-03,28.39,2.47,39.54,Weekday,10859.04,10701.17
2025-01-04,24.91,4.1,57.71,Weekend,10701.17,9154.35
2025-01-05,28.1,2.5,80.56,Weekend,9154.35,10249.15
2025-01-06,29.99,3.24,64.73,Weekday,10249.15,11054.21
2025-01-07,33.8,0.83,53.01,Weekday,11054.21,12358.24
2025-01-08,31.84,3.37,58.94,Weekday,12358.24,11638.25
2025-01-09,36.61,0.17,75.09,Weekday,11638.25,13452.0
2025-01-10,24.93,4.5,71.56,Weekday,13452.0,10143.13
2025-01-11,31.49,1.59,62.13,Weekend,10143.13,10978.89
2025-01-12,28.73,3.4,60.6,Weekend,10978.89,10414.4
2025-01-13,36.76,1.2,60.3,Weekday,10414.4,13179.47
2025-01-14,24.77,2.06,53.93,Weekday,13179.47,10195.14
2025-01-15,24.64,1.49,84.38,Weekday,10195.14,10792.73
2025-01-16,25.6,2.63,61.13,Weekday,10792.73,10842.31
2025-01-17,19.5,0.17,79.61,Weekday,10842.31,8722.61
2025-01-18,25.9,0.12,83.26,Weekend,8722.61,10163.2
2025-01-19,24.96,0.57,76.98,Weekend,10163.2,9888.87
2025-01-20,28.6,0.35,59.82,Weekday,9888.87,11028.1
2025-01-21,29.37,4.11,69.84,Weekday,11028.1,11508.74
2025-01-22,35.5,0.49,64.71,Weekday,11508.74,13547.96
2025-01-23,31.8,7.45,54.16,Weekday,13547.96,11267.8
2025-01-24,25.69,0.82,68.89,Weekday,11267.8,10332.11
2025-01-25,24.41,0.4,50.85,Weekend,10332.11,9824.72
2025-01-26,29.97,3.12,79.25,Weekend,9824.72,10773.89
2025-01-27,22.72,2.15,59.42,Weekday,10773.89,9923.21
2025-01-28,35.33,1.38,67.41,Weekday,9923.21,13073.31
2025-01-29,32.72,1.62,68.4,Weekday,13073.31,12416.97
2025-01-30,26.12,2.54,61.89,Weekday,12416.97,10179.66
2025-01-31,21.15,0.52,72.04,Weekday,10179.66,9809.56
2025-02-01,33.42,11.22,59.3,Weekend,9809.56,11257.37
2025-02-02,27.54,7.36,75.46,Weekend,11257.37,9677.74
2025-02-03,32.95,2.1,48.85,Weekday,9677.74,12306.65
2025-02-04,21.62,0.45,66.52,Weekday,12306.65,9160.63
2025-02-05,25.6,2.28,88.27,Weekday,9160.63,10622.48
2025-02-06,28.02,0.15,53.0,Weekday,10622.48,11414.87
2025-02-07,28.19,0.06,56.87,Weekday,11414.87,11273.34
2025-02-08,26.2,0.6,71.17,Weekend,11273.34,10289.56
2025-02-09,30.49,1.24,67.15,Weekend,10289.56,10873.26
2025-02-10,23.73,4.05,69.21,Weekday,10873.26,10027.44
2025-02-11,27.43,2.6,70.87,Weekday,10027.44,10593.9
2025-02-12,28.48,2.72,72.62,Weekday,10593.9,11146.02
